Feature,Mean_SHAP,Positive_Impact,Negative_Impact
relationships,0.06158387830546866,0.6178010471204188,0.38219895287958117
network_funding_ratio,0.05536221434199933,0.6020942408376964,0.39790575916230364
milestones,0.04128230994501363,0.4816753926701571,0.518324607329843
is_top500,0.03813369316988254,0.675392670157068,0.32460732984293195
age_last_milestone_year,0.026608554878676517,0.39790575916230364,0.6020942408376964
log_funding,0.024793976797508086,0.5287958115183246,0.4712041884816754
milestone_speed,0.02267191837681331,0.6387434554973822,0.3612565445026178
funding_rounds,0.02117118925016692,0.21465968586387435,0.7853403141361257
funding_total_usd,0.020383045924779873,0.5235602094240838,0.47643979057591623
age_last_funding_year,0.016914422445356382,0.5968586387434555,0.4031413612565445
avg_participants,0.016232676785793203,0.38219895287958117,0.6178010471204188
funding_efficiency,0.013627936143500406,0.5759162303664922,0.42408376963350786
age_first_milestone_year,0.01255772073766063,0.41361256544502617,0.5863874345549738
age_first_funding_year,0.00996279780931182,0.5968586387434555,0.4031413612565445
has_VC,0.009062259900441147,0.6544502617801047,0.34554973821989526
longitude,0.00880603531003336,0.41361256544502617,0.5863874345549738
has_roundB,0.00819230868531447,0.3089005235602094,0.6910994764397905
latitude,0.006992602993836907,0.581151832460733,0.418848167539267
category_encoded,0.005269524082828379,0.5654450261780105,0.43455497382198954
has_roundA,0.004683039292544994,0.46596858638743455,0.5340314136125655
is_top_state,0.004218994649864327,0.612565445026178,0.387434554973822
city_encoded,0.004216452946885458,0.46596858638743455,0.5340314136125655
investor_strength,0.004173477568621609,0.675392670157068,0.32460732984293195
has_angel,0.002992758620542096,0.6230366492146597,0.3769633507853403
state_encoded,0.0028380524678140472,0.6178010471204188,0.38219895287958117
is_otherstate,0.002648262919190511,0.6910994764397905,0.3089005235602094
is_othercategory,0.0026330727315690273,0.4607329842931937,0.5392670157068062
is_software,0.0021594613310815885,0.581151832460733,0.418848167539267
is_web,0.0016888481924931839,0.7539267015706806,0.24607329842931938
has_roundC,0.0014480124071948228,0.44502617801047123,0.5549738219895288
has_roundD,0.0012759191508817551,0.10471204188481675,0.8952879581151832
is_mobile,0.0012704465034993808,0.8586387434554974,0.14136125654450263
is_CA,0.0011259073308356794,0.5706806282722513,0.4293193717277487
is_TX,0.001124679190988575,0.8900523560209425,0.1099476439790576
is_NY,0.0009922742082249096,0.2198952879581152,0.7801047120418848
is_MA,0.0009499804398756477,0.17801047120418848,0.8219895287958116
is_enterprise,0.0008706806092609201,0.5759162303664922,0.42408376963350786
is_gamesvideo,0.0005594116789728329,0.5916230366492147,0.4083769633507853
is_ecommerce,0.0004995033779663221,0.837696335078534,0.16230366492146597
is_biotech,0.00046940592390047164,0.518324607329843,0.4816753926701571
is_advertising,0.0003655187329115834,0.7591623036649214,0.24083769633507854
is_consulting,8.476797873607098e-06,1.0,0.0
